p:batch_size,p:layer_0_activation,p:layer_0_dropout_rate,p:layer_0_units,p:layer_1_activation,p:layer_1_dropout_rate,p:layer_1_units,p:layer_2_activation,p:layer_2_dropout_rate,p:layer_2_units,p:learning_rate,p:lr_scheduler_factor,p:lr_scheduler_patience,p:n_units_mean,p:n_units_std,p:num_layers,p:softplus_factor,p:std_offset,p:layer_3_activation,p:layer_3_dropout_rate,p:layer_3_units,p:layer_4_activation,p:layer_4_dropout_rate,p:layer_4_units,p:layer_5_activation,p:layer_5_dropout_rate,p:layer_5_units,p:layer_6_activation,p:layer_6_dropout_rate,p:layer_6_units,p:layer_7_activation,p:layer_7_dropout_rate,p:layer_7_units,objective,job_id,job_status,m:timestamp_submit,m:train_loss,m:val_loss,m:train_mse,m:val_mse,m:test_loss,m:test_mse,m:budget,m:timestamp_gather
805,tanh,0.4505687650008,303,swish,0.4260292670266,291,swish,0.053801625644,153,0.0497283843751,0.4136267570052,17,444,295,4,2.7352024871498,5.26819975e-05,sigmoid,0.4677377175038,128,relu,0.0,64,relu,0.0,64,relu,0.0,64,relu,0.0,64,-2.1881244,43,DONE,50.75935387611389,"[12004027000.0, 2.1534986, 2.1765113, 2.1782632, 2.1784222, 2.1782906, 2.178346, 2.1787624, 2.1786313, 2.1785157, 2.1782615, 2.1783931]","[11721155000.0, 2.1657622, 2.186605, 2.1882174, 2.1881156, 2.188007, 2.1881483, 2.1884277, 2.1881802, 2.1882768, 2.188054, 2.1881244]","[69.09597, 4.3428144, 4.547811, 4.5628295, 4.565089, 4.565534, 4.564654, 4.565766, 4.5663476, 4.565187, 4.5644236, 4.565129]","[67.67915, 4.4467673, 4.6399918, 4.653237, 4.654059, 4.6540985, 4.654092, 4.6540866, 4.6540804, 4.654073, 4.654067, 4.6540594]",2.1810465,4.585914,12,887.5402224063873
1438,gelu,0.296279155157,510,sigmoid,0.2527454548225,360,relu,0.1680184480503,81,0.0020216695702,0.8546249026868,12,97,112,7,8.7588891274736,9.5688727e-05,swish,0.064530128427,410,silu,0.3789630786938,191,sigmoid,0.1500588713606,477,sigmoid,0.0767985382528,163,relu,0.0,64,-3.8140774,38,DONE,50.72767496109009,"[1992.5914, 3.7964897, 3.8849232, 3.8905766, 3.8794746, 3.8704565, 3.8623984, 3.8554716, 3.8485613, 3.8429363, 3.8365202, 3.829557]","[1498.0986, 3.8062758, 3.8860881, 3.8877318, 3.8750486, 3.8645701, 3.8546214, 3.8451102, 3.8366892, 3.8290362, 3.8216205, 3.8140774]","[1.7608011, 3.2833326, 3.810645, 3.9857125, 4.0390244, 4.035142, 4.0167437, 3.9983842, 3.9761238, 3.9497833, 3.9311767, 3.9020662]","[1.8643752, 3.384179, 3.8835356, 4.05513, 4.1188326, 4.1132994, 4.093586, 4.071727, 4.0428553, 4.0158215, 3.9982266, 3.9757035]",3.8103757,3.9094117,12,1062.9678342342377
1173,leaky_relu,0.2015143979557,360,silu,0.1069492557578,187,mish,0.0690192535149,454,0.0725330557672,0.7642558183666,10,305,109,8,2.2176916234682,0.0288546358319,sigmoid,0.2327712564326,147,leaky_relu,0.205181024679,476,silu,0.1411530985262,374,tanh,0.3172901882437,185,swish,0.4701187552775,90,-10.07305,31,DONE,50.61457967758179,"[422511.6, 9.767604, 9.996489, 10.023469, 10.032061, 10.02655, 10.027898, 10.02104, 10.021208, 10.020682, 10.019032, 10.018023]","[362131.8, 9.853435, 10.051732, 10.079099, 10.082123, 10.08158, 10.080465, 10.079188, 10.077797, 10.076306, 10.074728, 10.07305]","[104722.36, 1079630.2, 1779721.0, 1889088.4, 1957060.8, 1958656.4, 1912765.4, 1902128.2, 1882598.2, 1933385.2, 1962868.8, 1922220.0]","[31131.828, 363553.78, 579239.8, 621240.6, 627121.6, 627581.9, 627235.9, 626733.4, 626189.06, 625624.7, 624992.75, 624314.7]",10.072213,624068.8,12,1543.3264801502228
499,mish,0.4280392864382,354,mish,0.1037145975385,244,relu,0.3267824111875,448,0.0223078466869,0.3866147171611,6,227,334,3,1.7886061082825,1.75004914e-05,relu,0.0,64,relu,0.0,64,relu,0.0,64,relu,0.0,64,relu,0.0,64,-10.395744,13,DONE,50.08638072013855,"[110569096.0, 10407138000000.0, 1651891400000.0, 1469145800000.0, 3153276.0, 668479800000.0, 76578546000.0, 579122950000.0, 470879470000.0, 11.353051, 10.08805, 9.881708, 181408780000.0, 10.704021]","[5153023.0, 960952800000.0, 11.018603, 9.520063, 10.112236, 10.211744, 10.215011, 10.957542, 10.788148, 11.022741, 9.763607, 9.64941, 9.611647, 10.395744]","[81388.914, 2016065.1, 769569660.0, 33003930.0, 50578160.0, 30310346.0, 24596532.0, 327996300.0, 211671580.0, 522762700.0, 86554540.0, 53543696.0, 30245786.0, 14274813.0]","[88035.68, 1914921.1, 614888600.0, 3828211.5, 8778761.0, 9597574.0, 21935318.0, 241905810.0, 132151240.0, 344887100.0, 1271125.1, 91764.08, 207076.75, 977313.25]",10.423285,1153012.0,14,1743.1082689762115
709,silu,0.0652454402588,433,tanh,0.0607921856372,412,tanh,0.4137213023139,266,0.0431519443383,0.2521321100756,15,168,412,5,1.3391389493595,0.0010043846041,leaky_relu,0.2925077359727,183,swish,0.2287769763223,185,relu,0.0,64,relu,0.0,64,relu,0.0,64,-18.47023,41,DONE,50.75223422050476,"[262204.25, 11.570386, 11.589888, 11.560418, 11.475805, 11.54776, 11.594697, 11.57852, 11.558977, 11.520938, 11.453105, 8399334000.0, 16.152225, 15.615511, 15.412489, 15.213543, 14.889414, 509807820000.0, 22.945307, 20.014093, 19.140966]","[3492.675, 11.485767, 11.5039425, 11.473137, 11.386272, 11.440925, 11.500497, 11.48447, 11.461403, 11.426119, 11.35935, 98519656.0, 15.952465, 15.4600725, 15.266312, 15.087402, 14.751834, 23.4173, 21.745163, 19.21241, 18.47023]","[41129996.0, 165251650.0, 185686770.0, 188403700.0, 194014370.0, 183914140.0, 178717180.0, 177572290.0, 178113920.0, 175864830.0, 172922720.0, 241757260000.0, 1503110900000.0, 1743681200000.0, 1725199400000.0, 1704335100000.0, 1647704100000.0, 47836860000000.0, 133764940000000.0, 139728690000000.0, 138928730000000.0]","[39743470.0, 146312900.0, 163071280.0, 166191800.0, 169628600.0, 161180420.0, 156721860.0, 155550500.0, 154601600.0, 153393390.0, 150636000.0, 260246620000.0, 1429331500000.0, 1598505600000.0, 1600750700000.0, 1583747600000.0, 1530291600000.0, 49014133000000.0, 124936086000000.0, 129539040000000.0, 129115160000000.0]",18.316368,128857690000000.0,21,2026.0498723983765
704,leaky_relu,0.2351446067972,306,leaky_relu,0.1785802749881,424,silu,0.2897397265325,302,0.0782200879471,0.3160517536685,11,381,380,8,3.0753650314747,0.0011332780133,gelu,0.0159582794981,76,relu,0.1818209261493,418,leaky_relu,0.3407207534769,194,gelu,0.3466929389307,137,tanh,0.4515098531916,361,-377506.44,2,DONE,49.61114192008972,"[3656362000.0, 1265828.1, 751736.4, 599401.5, 504853.75, 459035.0, 421609.28, 408700.0, 402922.84, 397357.53, 399822.94, 398888.94, 396202.88, 400326.06, 395672.2, 395649.72, 398029.56, 399546.88, 397769.7, 401863.7]","[3708439000.0, 770247.1, 380441.5, 373953.75, 371340.16, 373869.34, 371637.8, 372536.38, 370761.0, 370236.7, 373543.06, 371718.75, 370277.4, 375928.88, 371304.1, 370446.72, 371353.06, 375852.56, 373661.06, 377506.44]","[9979.905, 3.2514694, 1.9309536, 1.5396607, 1.2968016, 1.1791099, 1.0829768, 1.0498176, 1.0349779, 1.0206828, 1.0270156, 1.0246164, 1.0177169, 1.0283078, 1.0163537, 1.0162961, 1.022409, 1.0263064, 1.0217414, 1.0322574]","[10034.537, 1.9785013, 0.9772316, 0.9605669, 0.95385355, 0.96035016, 0.9546182, 0.9569262, 0.9523659, 0.95101917, 0.95951205, 0.954826, 0.9511237, 0.9656403, 0.9537609, 0.9515587, 0.95388675, 0.9654442, 0.959815, 0.9696925]",411941.44,1.0581436,20,2202.5245757102966
944,relu,0.3565081983735,346,mish,0.4790417235361,382,leaky_relu,0.4628679081798,117,0.0987175413925,0.9844291627193,12,341,356,7,1.049862080847,0.0673009610447,leaky_relu,0.3573328538451,104,mish,0.4032861011532,69,swish,0.0025899948576,192,tanh,0.3125806627044,171,relu,0.0,64,-9.609675,32,DONE,50.63728976249695,"[44.509792, 8.557571, 8.588531, 9.662233, 9.729159, 9.721301, 9.705972, 9.689042, 9.67252, 9.655599, 9.636527, 9.589002]","[7.986917, 8.5720825, 8.598622, 9.7169695, 9.776733, 9.767526, 9.752271, 9.736113, 9.719277, 9.701638, 9.683166, 9.609675]","[514465.66, 165302.17, 736420.8, 5288394.5, 5316399.0, 4618428.5, 3928541.8, 3292745.2, 2707468.2, 2150677.2, 1622611.6, 1029956.8]","[529480.3, 91155.68, 959534.2, 5751016.0, 5704774.5, 4951344.5, 4223016.0, 3552240.8, 2924207.2, 2328388.5, 1766275.0, 1042448.3]",9.550834,623151.75,12,2415.6854140758514
873,relu,0.0443245447469,367,leaky_relu,0.3574232494004,402,silu,0.4875013442655,378,0.0008922971389,0.3312637420698,12,511,84,5,1.6242517704155,0.0311530239622,mish,0.0770929301645,154,swish,0.134498101788,334,relu,0.0,64,relu,0.0,64,relu,0.0,64,0.1751607,44,DONE,50.796223402023315,"[0.8937302, 0.35831302, 0.14503478, 0.055065665, 0.014795787, -0.012804804, -0.06626104, -0.05379166, -0.108705446, -0.08063995, -0.050063476, -0.11818017, -0.18018423, -0.16612662, -0.18114413, -0.13137725, -0.1968434, -0.20360449, -0.20021246, -0.23832844, -0.22030948, -0.22531949, -0.24874374, -0.27198, -0.2944372, -0.1522107, -0.2665088, -0.2958019, -0.30650517, -0.2856969]","[0.8279479, 0.2115988, 0.022713138, -0.06835255, -0.097111754, -0.105546825, -0.1470759, -0.13982731, -0.17384617, -0.14841518, -0.12524632, -0.17226721, -0.21056499, -0.19146517, -0.19779097, -0.15593301, -0.20042036, -0.2021559, -0.17907315, -0.2116483, -0.19970481, -0.18190435, -0.1938641, -0.16337164, -0.1726185, -0.15315086, -0.20160563, -0.19808656, -0.16288818, -0.1751607]","[0.4550279, 0.2150666, 0.18503396, 0.17603444, 0.17165205, 0.16710114, 0.16656147, 0.17075954, 0.16732346, 0.16748622, 0.1660073, 0.16402806, 0.16518556, 0.16169506, 0.15701619, 0.16739157, 0.1629036, 0.16319108, 0.16169523, 0.15339714, 0.15570106, 0.15691549, 0.1594314, 0.15617265, 0.15149568, 0.15815291, 0.15619539, 0.1551188, 0.15111768, 0.15148121]","[0.39011425, 0.17750584, 0.15531859, 0.14709048, 0.14355081, 0.1438511, 0.14149018, 0.14176148, 0.14036658, 0.14288045, 0.14242558, 0.140517, 0.13785376, 0.13729396, 0.13482131, 0.14404528, 0.13814424, 0.14075734, 0.13716479, 0.1325784, 0.13171287, 0.13583092, 0.13747154, 0.13405044, 0.13314459, 0.13473056, 0.13291672, 0.1319461, 0.13209651, 0.13120584]",0.0014779891,0.162903,30,2494.0742268562317
440,relu,0.2966741118864,408,tanh,0.2475040986656,94,leaky_relu,0.1570029713005,377,0.0031043266274,0.407890773889,14,165,389,4,1.4672210173789,1.79788813e-05,gelu,0.1919580043071,442,relu,0.0,64,relu,0.0,64,relu,0.0,64,relu,0.0,64,0.157793,46,DONE,50.83573055267334,"[0.5902605, 0.18668269, 0.0844499, 0.11707801, 0.132354, 0.09891477, -0.0073821866, -0.0048180134, 0.055888157, -0.0029712121, -0.037394155, -0.0071007153, -0.058261544, -0.084498234, 0.031504884, -0.058243323, -0.07219715, 0.0038247316, -0.010857986, -0.032343935, -0.077169016, 0.09203831, -0.025442464, -0.06649978]","[0.44856852, 0.055979796, -0.026580224, -0.008438864, 0.007876461, -0.014368131, -0.1104147, -0.116910934, -0.0705857, -0.118606135, -0.13939026, -0.0964828, -0.13608015, -0.17294942, -0.036830798, -0.09266776, -0.13128969, -0.08747325, -0.10709917, -0.13647342, -0.12826395, -0.01725092, -0.1361715, -0.157793]","[0.3401828, 0.2085291, 0.19813603, 0.19258887, 0.19528805, 0.19266707, 0.18363814, 0.18385163, 0.18943311, 0.1790614, 0.17591846, 0.18685174, 0.17431085, 0.17078376, 0.18229651, 0.1738009, 0.17386435, 0.17610049, 0.17182796, 0.17746542, 0.17314874, 0.18338768, 0.17393294, 0.17381161]","[0.27469584, 0.1732361, 0.1653941, 0.15812883, 0.1609998, 0.15724838, 0.1481472, 0.15107292, 0.15926795, 0.14486498, 0.14409572, 0.15003993, 0.14929505, 0.13864966, 0.14615877, 0.14288527, 0.14272933, 0.14302799, 0.14182477, 0.14086473, 0.14247459, 0.15020736, 0.14093094, 0.1398207]",-0.14153793,0.14545332,24,2516.7271013259888
828,relu,0.1228640046516,288,leaky_relu,0.1103120580241,306,relu,0.1995887461816,196,0.0013288956371,0.9585776596189,13,142,190,8,0.424545856484,0.0195577202684,tanh,0.4170151643876,75,tanh,0.4288249595012,445,leaky_relu,0.0509601022351,282,tanh,0.4158040414304,154,mish,0.0688998276885,466,0.058603626,20,DONE,50.30967450141907,"[0.9256425, 0.4861248, 0.38483456, 0.19829366, 0.15195541, 0.1627877, 0.05370283, 0.0020456093, 0.022010924, -0.032178182, -0.025731044, -0.020511463, -0.039440423, -0.071705826, -0.09152028, 0.094819054, 0.050750606, -0.049598224, -0.09015078, -0.061349146, -0.106204174, -0.03582183, -0.05268039, -0.016539149]","[0.8424184, 0.36516458, 0.22406769, 0.048946876, -0.00518488, -0.0061111506, -0.06315131, -0.115188405, -0.11173839, -0.117996976, -0.12578422, -0.12317171, -0.119186625, -0.14720722, -0.099640846, 0.01930288, -0.024577212, -0.13999155, -0.090641275, -0.12078061, -0.07265799, -0.09486407, -0.100958526, -0.058603626]","[0.47351286, 0.23337828, 0.2227125, 0.22261585, 0.21435805, 0.22020893, 0.19174454, 0.19175404, 0.18595073, 0.18807404, 0.18171561, 0.18384501, 0.18055904, 0.17990579, 0.17526716, 0.2102782, 0.19418332, 0.1775576, 0.1815612, 0.18368007, 0.18299474, 0.1774247, 0.17824262, 0.19167028]","[0.39785588, 0.18971765, 0.17242688, 0.17434132, 0.16742168, 0.17104043, 0.15280391, 0.15365827, 0.15029867, 0.15475944, 0.14651321, 0.14544521, 0.14615585, 0.14569, 0.14341524, 0.16634533, 0.14729229, 0.14416353, 0.14439371, 0.14503294, 0.14788638, 0.14493264, 0.15008086, 0.15551631]",0.09860917,0.15157631,24,2703.065029144287
